NU_ANO_CENSO|CO_IES|TP_CATEGORIA_ADMINISTRATIVA|TP_ORGANIZACAO_ACADEMICA|CO_CURSO|CO_CURSO_POLO|TP_TURNO|TP_GRAU_ACADEMICO|TP_MODALIDADE_ENSINO|TP_NIVEL_ACADEMICO|CO_CINE_ROTULO|ID_ALUNO|CO_ALUNO_CURSO|CO_ALUNO_CURSO_ORIGEM|TP_COR_RACA|TP_SEXO|NU_ANO_NASCIMENTO|NU_MES_NASCIMENTO|NU_DIA_NASCIMENTO|NU_IDADE|TP_NACIONALIDADE|CO_PAIS_ORIGEM|CO_UF_NASCIMENTO|CO_MUNICIPIO_NASCIMENTO|IN_DEFICIENCIA|IN_DEFICIENCIA_AUDITIVA|IN_DEFICIENCIA_FISICA|IN_DEFICIENCIA_INTELECTUAL|IN_DEFICIENCIA_MULTIPLA|IN_DEFICIENCIA_SURDEZ|IN_DEFICIENCIA_SURDOCEGUEIRA|IN_DEFICIENCIA_BAIXA_VISAO|IN_DEFICIENCIA_CEGUEIRA|IN_DEFICIENCIA_SUPERDOTACAO|IN_TGD_AUTISMO|IN_TGD_SINDROME_ASPERGER|IN_TGD_SINDROME_RETT|IN_TGD_TRANSTOR_DESINTEGRATIVO|TP_SITUACAO|QT_CARGA_HORARIA_TOTAL|QT_CARGA_HORARIA_INTEG|DT_INGRESSO_CURSO|IN_INGRESSO_VESTIBULAR|IN_INGRESSO_ENEM|IN_INGRESSO_AVALIACAO_SERIADA|IN_INGRESSO_SELECAO_SIMPLIFICA|IN_INGRESSO_OUTRO_TIPO_SELECAO|IN_INGRESSO_VAGA_REMANESC|IN_INGRESSO_VAGA_PROG_ESPECIAL|IN_INGRESSO_TRANSF_EXOFFICIO|IN_INGRESSO_DECISAO_JUDICIAL|IN_INGRESSO_CONVENIO_PECG|IN_INGRESSO_EGRESSO|IN_INGRESSO_OUTRA_FORMA|IN_RESERVA_VAGAS|IN_RESERVA_ETNICO|IN_RESERVA_DEFICIENCIA|IN_RESERVA_ENSINO_PUBLICO|IN_RESERVA_RENDA_FAMILIAR|IN_RESERVA_OUTRA|IN_FINANCIAMENTO_ESTUDANTIL|IN_FIN_REEMB_FIES|IN_FIN_REEMB_ESTADUAL|IN_FIN_REEMB_MUNICIPAL|IN_FIN_REEMB_PROG_IES|IN_FIN_REEMB_ENT_EXTERNA|IN_FIN_REEMB_OUTRA|IN_FIN_NAOREEMB_PROUNI_INTEGR|IN_FIN_NAOREEMB_PROUNI_PARCIAL|IN_FIN_NAOREEMB_ESTADUAL|IN_FIN_NAOREEMB_MUNICIPAL|IN_FIN_NAOREEMB_PROG_IES|IN_FIN_NAOREEMB_ENT_EXTERNA|IN_FIN_NAOREEMB_OUTRA|IN_APOIO_SOCIAL|IN_APOIO_ALIMENTACAO|IN_APOIO_BOLSA_PERMANENCIA|IN_APOIO_BOLSA_TRABALHO|IN_APOIO_MATERIAL_DIDATICO|IN_APOIO_MORADIA|IN_APOIO_TRANSPORTE|IN_ATIVIDADE_EXTRACURRICULAR|IN_COMPLEMENTAR_ESTAGIO|IN_COMPLEMENTAR_EXTENSAO|IN_COMPLEMENTAR_MONITORIA|IN_COMPLEMENTAR_PESQUISA|IN_BOLSA_ESTAGIO|IN_BOLSA_EXTENSAO|IN_BOLSA_MONITORIA|IN_BOLSA_PESQUISA|TP_ESCOLA_CONCLUSAO_ENS_MEDIO|IN_ALUNO_PARFOR|TP_SEMESTRE_CONCLUSAO|TP_SEMESTRE_REFERENCIA|IN_MOBILIDADE_ACADEMICA|TP_MOBILIDADE_ACADEMICA|TP_MOBILIDADE_ACADEMICA_INTERN|CO_IES_DESTINO|CO_PAIS_DESTINO|IN_MATRICULA|IN_CONCLUINTE|IN_INGRESSO_TOTAL|IN_INGRESSO_VAGA_NOVA|IN_INGRESSO_PROCESSO_SELETIVO|NU_ANO_INGRESSO
2018|3188|1|4|1102802||4|1|1|1|0811E01|94FFF43465508BE20F0310F906B8B9D8|2527989||1|2|1997|11|24|21|1|76|35|3550308|9||||||||||||||4|3816|750|01JAN2015:00:00:00|0|1|0|0||0|0|0|0|0|0||0||||||||||||||||||||0|||||||0|||||||||1|||2|0|||||0|0|0|0||2015
2018|3188|1|4|1102802||4|1|1|1|0811E01|A36A0F51AA6DEB525E2776E205F6494F|2527992||3|1|1984|7|16|34|1|76|31|3143302|9||||||||||||||2|3816|1183|01JAN2015:00:00:00|0|1|0|0||0|0|0|0|0|0||0||||||||||||||||||||0|||||||0|||||||||1|||2|0|||||1|0|0|0||2015
2018|3188|1|4|1102802||4|1|1|1|0811E01|680FA6D7B49D2CCF8B65D2D86CC4DED2|2528019||3|1|1997|5|4|21|1|76|31|3135209|0||||||||||||||5|3816|883|01JAN2015:00:00:00|0|1|0|0||0|0|0|0|0|0||0||||||||||||||||||||0|||||||0|||||||||1|||2|0|||||0|0|0|0||2015
2018|3188|1|4|1102802||4|1|1|1|0811E01|F000111ACE93ED1B2D18FA431CC5EFD9|3482258||3|1|1996|9|26|22|1|76|31|3135209|9||||||||||||||4|3816|133|01JAN2015:00:00:00|0|1|0|0||0|0|0|0|0|0||0||||||||||||||||||||0|||||||0|||||||||1|||2|0|||||0|0|0|0||2015
2018|3188|1|4|1102802||4|1|1|1|0811E01|9BE9B5E29D3C610CF4B4912D378E8BE3|4155711||3|1|1996|1|30|22|1|76|31|3132107|9||||||||||||||2|3816|2416|01JAN2015:00:00:00|0|1|0|0||0|0|0|0|0|0||0||||||||||||||||||||0|||||||1|0|1|0|1||1||1|1|||2|0|||||1|0|0|0||2015
2018|3188|1|4|1102802||4|1|1|1|0811E01|76AD789C772CDF49DF4641B1985EAC81|2558028||1|2|1996|3|16|22|1|76|31|3135209|9||||||||||||||2|3816|2800|01JAN2015:00:00:00|0|1|0|0||0|0|0|0|0|0||0||||||||||||||||||||0|||||||1|0|1|0|1||0||1|2|||2|0|||||1|0|0|0||2015
2018|3188|1|4|1102802||4|1|1|1|0811E01|A5B0B691513C50F4DDE316E8E1EB047A|2517759||3|2|1995|3|19|23|1|76|31|3135209|9||||||||||||||2|3816|2866|01JAN2015:00:00:00|0|1|0|0||0|0|0|0|0|0||0||||||||||||||||||||0|||||||1|0|0|0|1||||0|1|||2|0|||||1|0|0|0||2015
2018|3188|1|4|1102802||4|1|1|1|0811E01|5816ECD5944D6C50D8345842833F5808|3385646||3|2|1990|7|29|28|1|76|31|3112307|9||||||||||||||2|3816|2033|01JAN2015:00:00:00|0|1|0|0||0|0|0|0|0|0||0||||||||||||||||||||0|||||||0|||||||||1|||2|0|||||1|0|0|0||2015
2018|3188|1|4|1102802||4|1|1|1|0811E01|0F903E1C636CB0B9AEEF0C34539BAE1B|4157839||0|1|1996|9|26|22|1|76|||0||||||||||||||2|3816|600|01JAN2016:00:00:00|0|1|0|0||0|0|0|0|0|0||0||||||||||||||||||||0|||||||0|||||||||1|||2|0|||||1|0|0|0||2016
2018|3188|1|4|1102802||4|1|1|1|0811E01|296E93874AA3F34F82CD88B662CACA97|35636014||3|2|1995|9|30|23|1|76|31|3135209|0||||||||||||||2|3816|350|01JAN2018:00:00:00|0|1|0|0||0|0|0|0|0|0||0||||||||||||||||||||0|||||||0|||||||||1|||2|0|||||1|0|1|1||2018
2018|3188|1|4|1102802||4|1|1|1|0811E01|AFB0D689AADEC40A0E21866B20E43827|4356207||3|2|1997|10|31|21|1|76|||0||||||||||||||4|3816|0|01JAN2017:00:00:00|0|0|0|0||1|0|0|0|0|0||0||||||||||||||||||||0|||||||0|||||||||1|||2|0|||||0|0|0|0||2017
