NU_ANO_CENSO|CO_IES|TP_CATEGORIA_ADMINISTRATIVA|TP_ORGANIZACAO_ACADEMICA|CO_CURSO|CO_CURSO_POLO|TP_TURNO|TP_GRAU_ACADEMICO|TP_MODALIDADE_ENSINO|TP_NIVEL_ACADEMICO|CO_OCDE_AREA_GERAL|CO_OCDE_AREA_ESPECIFICA|CO_OCDE_AREA_DETALHADA|CO_OCDE|CO_ALUNO|CO_ALUNO_CURSO|CO_ALUNO_CURSO_ORIGEM|TP_COR_RACA|TP_SEXO|NU_ANO_NASCIMENTO|NU_MES_NASCIMENTO|NU_DIA_NASCIMENTO|NU_IDADE|TP_NACIONALIDADE|CO_PAIS_ORIGEM|CO_UF_NASCIMENTO|CO_MUNICIPIO_NASCIMENTO|TP_DEFICIENCIA|IN_DEFICIENCIA_AUDITIVA|IN_DEFICIENCIA_FISICA|IN_DEFICIENCIA_INTELECTUAL|IN_DEFICIENCIA_MULTIPLA|IN_DEFICIENCIA_SURDEZ|IN_DEFICIENCIA_SURDOCEGUEIRA|IN_DEFICIENCIA_BAIXA_VISAO|IN_DEFICIENCIA_CEGUEIRA|IN_DEFICIENCIA_SUPERDOTACAO|IN_TGD_AUTISMO_INFANTIL|IN_TGD_SINDROME_ASPERGER|IN_TGD_SINDROME_RETT|IN_TGD_TRANSTOR_DESINTEGRATIVO|TP_SITUACAO|QT_CARGA_HORARIA_TOTAL|QT_CARGA_HORARIA_INTEG|DT_INGRESSO_CURSO|IN_INGRESSO_VESTIBULAR|IN_INGRESSO_ENEM|IN_INGRESSO_AVALIACAO_SERIADA|IN_INGRESSO_SELECAO_SIMPLIFICA|IN_INGRESSO_OUTRO_TIPO_SELECAO|IN_INGRESSO_VAGA_REMANESC|IN_INGRESSO_VAGA_PROG_ESPECIAL|IN_INGRESSO_TRANSF_EXOFFICIO|IN_INGRESSO_DECISAO_JUDICIAL|IN_INGRESSO_CONVENIO_PECG|IN_INGRESSO_EGRESSO|IN_INGRESSO_OUTRA_FORMA|IN_RESERVA_VAGAS|IN_RESERVA_ETNICO|IN_RESERVA_DEFICIENCIA|IN_RESERVA_ENSINO_PUBLICO|IN_RESERVA_RENDA_FAMILIAR|IN_RESERVA_OUTRA|IN_FINANCIAMENTO_ESTUDANTIL|IN_FIN_REEMB_FIES|IN_FIN_REEMB_ESTADUAL|IN_FIN_REEMB_MUNICIPAL|IN_FIN_REEMB_PROG_IES|IN_FIN_REEMB_ENT_EXTERNA|IN_FIN_REEMB_OUTRA|IN_FIN_NAOREEMB_PROUNI_INTEGR|IN_FIN_NAOREEMB_PROUNI_PARCIAL|IN_FIN_NAOREEMB_ESTADUAL|IN_FIN_NAOREEMB_MUNICIPAL|IN_FIN_NAOREEMB_PROG_IES|IN_FIN_NAOREEMB_ENT_EXTERNA|IN_FIN_NAOREEMB_OUTRA|IN_APOIO_SOCIAL|IN_APOIO_ALIMENTACAO|IN_APOIO_BOLSA_PERMANENCIA|IN_APOIO_BOLSA_TRABALHO|IN_APOIO_MATERIAL_DIDATICO|IN_APOIO_MORADIA|IN_APOIO_TRANSPORTE|IN_ATIVIDADE_EXTRACURRICULAR|IN_COMPLEMENTAR_ESTAGIO|IN_COMPLEMENTAR_EXTENSAO|IN_COMPLEMENTAR_MONITORIA|IN_COMPLEMENTAR_PESQUISA|IN_BOLSA_ESTAGIO|IN_BOLSA_EXTENSAO|IN_BOLSA_MONITORIA|IN_BOLSA_PESQUISA|TP_ESCOLA_CONCLUSAO_ENS_MEDIO|IN_ALUNO_PARFOR|TP_SEMESTRE_CONCLUSAO|TP_SEMESTRE_REFERENCIA|IN_MOBILIDADE_ACADEMICA|TP_MOBILIDADE_ACADEMICA|TP_MOBILIDADE_ACADEMICA_INTERN|CO_IES_DESTINO|CO_PAIS_DESTINO|IN_MATRICULA|IN_CONCLUINTE|IN_INGRESSO_TOTAL|IN_INGRESSO_VAGA_NOVA|IN_INGRESSO_PROCESSO_SELETIVO|NU_ANO_INGRESSO
2017|3188|1|4|96981||4|3|1|1|4|48|483|483A02|400014501277|2021476||3|2|1994|9|1|23|1|76|31|3135209|0||||||||||||||2|2500|2133|01/01/2013|0|1|0|0||0|0|0|0|0|0||0||||||||||||||||||||0|||||||0|||||||||1|||2|0|||||1|0|0|0||2013
2017|3188|1|4|96981||4|3|1|1|4|48|483|483A02|400014721734|2110157||3|1|1994|11|5|23|1|76|31|3135209|0||||||||||||||2|2500|2000|01/01/2012|0|1|0|0||0|0|0|0|0|0||0||||||||||||||||||||0|||||||0|||||||||1|||2|0|||||1|0|0|0||2012
2017|3188|1|4|96981||4|3|1|1|4|48|483|483A02|400014729203|2112379||2|2|1992|7|3|25|1|76|31|3135209|0||||||||||||||2|2500|2400|01/01/2012|0|1|0|0||0|0|0|0|0|0||0||||||||||||||||||||0|||||||0|||||||||1|||2|0|||||1|0|0|0||2012
2017|3188|1|4|96981||4|3|1|1|4|48|483|483A02|400014738127|2115851||1|2|1985|1|11|32|1|76|31|3163706|0||||||||||||||2|2500|2400|01/01/2012|0|1|0|0||0|0|0|0|0|0||0||||||||||||||||||||0|||||||0|||||||||1|||2|0|||||1|0|0|0||2012
2017|3188|1|4|96981||4|3|1|1|4|48|483|483A02|400014740595|2116725||2|1|1994|4|16|23|1|76|31|3143302|0||||||||||||||6|2500|2520|01/01/2012|0|1|0|0||0|0|0|0|0|0||0||||||||||||||||||||0|||||||0|||||||||1||2|2|0|||||1|1|0|0||2012
2017|3188|1|4|96981||4|3|1|1|4|48|483|483A02|400014760499|2122372||2|2|1993|7|22|24|1|76|31|3135209|0||||||||||||||2|2500|2000|01/01/2012|0|1|0|0||0|0|0|0|0|0||0||||||||||||||||||||0|||||||0|||||||||1|||2|0|||||1|0|0|0||2012
2017|3188|1|4|96981||4|3|1|1|4|48|483|483A02|400014835528|2142722||3|1|1994|2|14|23|1|76|35|3547809|0||||||||||||||2|2400|2260|01/01/2012|0|1|0|0||0|0|0|0|0|0||0||||||||||||||||||||0|||||||0|||||||||1|||2|0|||||1|0|0|0||2012
2017|3188|1|4|96981||4|3|1|1|4|48|483|483A02|400014845339|2144674||2|1|1992|4|20|25|1|76|31|3132107|0||||||||||||||2|2500|2000|01/01/2012|0|1|0|0||0|0|0|0|0|0||0||||||||||||||||||||0|||||||1|0|1|0|0||1|||1|||2|0|||||1|0|0|0||2012
2017|3188|1|4|96981||4|3|1|1|4|48|483|483A02|400014935879|2170083||3|2|1994|5|15|23|1|76|31|3135209|0||||||||||||||6|2500|2500|01/01/2012|0|1|0|0||0|0|0|0|0|0||0||||||||||||||||||||0|||||||0|||||||||1||1|2|0|||||1|1|0|0||2012
2017|3188|1|4|96981||4|3|1|1|4|48|483|483A02|400014936331|2170192||3|2|1994|7|4|23|1|76|31|3143302|0||||||||||||||2|2500|2300|01/01/2012|0|1|0|0||0|0|0|0|0|0||0||||||||||||||||||||0|||||||0|||||||||1|||2|0|||||1|0|0|0||2012
2017|3188|1|4|96981||4|3|1|1|4|48|483|483A02|400014951753|2175577||0|2|1990|9|6|27|1|76|31|3135209|0||||||||||||||2|2500|480|01/01/2016|0|0|0|1||0|0|0|0|0|0||0||||||||||||||||||||0|||||||0|||||||||1|||2|0|||||1|0|0|0||2016
2017|3188|1|4|96981||4|3|1|1|4|48|483|483A02|400015337189|2297694||5|2|1992|9|19|25|1|76|31|3132107|0||||||||||||||4|2500|166|01/01/2016|0|1|0|0||0|0|0|0|0|0||0||||||||||||||||||||0|||||||0|||||||||1|||2|0|||||0|0|0|0||2016
2017|3188|1|4|96981||4|3|1|1|4|48|483|483A02|400015565366|2392310||1|2|1993|4|23|24|1|76|31|3143302|0||||||||||||||4|2500|400|01/07/2015|0|1|0|0||0|0|0|0|0|0||0||||||||||||||||||||0|||||||0|||||||||2|||2|0|||||0|0|0|0||2015
