CO_CURSO,TP_GRAU_ACADEMICO,TP_SITUACAO,IN_DEFICIENCIA,IN_RESERVA_VAGAS,TP_SEXO,TP_COR_RACA,NU_ANO_NASCIMENTO,NU_DIA_NASCIMENTO,NU_MES_NASCIMENTO,NU_IDADE,NU_ANO_INGRESSO,NU_ANO_CENSO,CO_MUNICIPIO_NASCIMENTO,Id
107476,1,2,0,0,0,6,1989,4,11,20,2008,2009,null,2638
107476,1,2,0,0,0,6,1979,12,8,30,2008,2009,null,2639
96981,3,6,0,0,0,6,1983,7,11,26,2006,2009,null,2640
107476,1,2,0,0,1,6,1988,9,7,21,2008,2009,null,2641
96981,3,6,0,0,0,6,1985,13,6,24,2006,2009,null,2642
107476,1,2,0,0,1,6,1987,5,2,22,2008,2009,null,2643
96981,3,6,0,0,1,6,1987,19,8,22,2006,2009,null,2644
107476,1,2,0,0,0,6,1989,8,5,20,2008,2009,null,2649
107476,1,2,0,0,0,6,1986,22,3,23,2008,2009,null,2652
107476,1,2,0,0,0,6,1990,30,11,19,2008,2009,null,2343
96981,3,6,0,0,1,6,1971,21,2,38,2006,2009,null,2783
96981,3,6,0,0,0,6,1987,7,10,22,2006,2009,null,2784
96981,3,6,0,0,0,6,1988,15,12,21,2006,2009,null,2788
96981,3,6,0,0,0,6,1981,3,11,28,2006,2009,null,2789
107476,1,2,0,0,0,6,1990,6,11,19,2009,2009,null,2790
107476,1,2,0,0,0,6,1991,2,12,18,2009,2009,null,2791
107476,1,2,0,0,1,6,1990,3,1,19,2009,2009,null,2793
112692,2,4,0,0,0,6,1988,7,1,21,2008,2009,null,2794
112692,2,4,0,0,1,6,1972,6,4,37,2008,2009,null,2796
107476,1,4,0,0,1,6,1983,12,6,26,2009,2009,null,2797
112692,2,2,0,0,1,6,1989,12,4,20,2008,2009,null,2798
107476,1,2,0,0,1,6,1988,12,5,21,2009,2009,null,2799
112692,2,4,0,0,1,6,1988,10,11,21,2008,2009,null,2800
107476,1,4,0,0,1,6,1990,23,12,19,2009,2009,null,2801
96981,3,2,0,0,1,6,1990,23,12,19,2009,2009,null,2802
107476,1,2,0,0,0,6,1989,2,6,20,2009,2009,null,2803
107476,1,3,0,0,1,6,1985,16,5,24,2009,2009,null,2805
107476,1,3,0,0,0,6,1991,27,7,18,2009,2009,null,2809
112692,2,2,0,0,1,6,1990,15,3,19,2008,2009,null,2812
107476,1,2,0,0,0,6,1989,3,11,20,2009,2009,null,2813
107476,1,2,0,0,0,6,1981,5,10,28,2009,2009,null,2814
107476,1,2,0,0,1,6,1990,14,5,19,2009,2009,null,3073
112692,2,2,0,0,1,6,1990,30,7,19,2008,2009,null,2819
107476,1,2,0,0,1,6,1988,13,7,21,2009,2009,null,2821
107476,1,2,0,0,1,6,1989,7,1,20,2009,2009,null,2825
112692,2,2,0,0,0,6,1990,15,3,19,2008,2009,null,2826
112692,2,2,0,0,0,6,1987,17,9,22,2008,2009,null,2827
96981,3,6,0,0,0,6,1981,1,9,28,2006,2009,null,3074
107476,1,2,0,0,1,6,1987,25,8,22,2009,2009,null,3075
96981,3,2,0,0,0,6,1988,28,5,21,2006,2009,null,3076
107476,1,3,0,0,0,6,1984,28,6,25,2009,2009,null,3077
96981,3,4,0,0,0,6,1969,14,11,40,2006,2009,null,3078
96981,3,6,0,0,0,6,1984,20,11,25,2006,2009,null,3079
107476,1,2,0,0,1,6,1991,8,2,18,2009,2009,null,3080
107476,1,2,0,0,0,6,1988,16,4,21,2009,2009,null,3081
112692,2,2,0,0,1,6,1989,28,12,20,2008,2009,null,3082
99503,2,4,0,0,1,6,1984,10,6,25,2007,2009,null,3083
96981,3,2,0,0,0,6,1989,6,2,20,2007,2009,null,3084
99503,2,2,0,0,0,6,1983,27,1,26,2007,2009,null,3085
107474,1,2,0,0,1,6,1983,17,10,26,2008,2009,null,3086
107474,1,2,0,0,1,6,1989,15,1,20,2008,2009,null,3087
96981,3,2,0,0,0,6,1988,11,5,21,2007,2009,null,3088
99503,2,2,0,0,0,6,1988,16,7,21,2007,2009,null,3398
