CO_CURSO,TP_GRAU_ACADEMICO,TP_SITUACAO,IN_DEFICIENCIA,IN_RESERVA_VAGAS,TP_SEXO,TP_COR_RACA,NU_ANO_NASCIMENTO,NU_DIA_NASCIMENTO,NU_MES_NASCIMENTO,NU_IDADE,NU_ANO_INGRESSO,NU_ANO_CENSO,CO_MUNICIPIO_NASCIMENTO
107474,1,2,0,0,1,6,1989,17,2,20,2007,2009,null
107474,1,2,0,0,1,6,1988,30,1,21,2007,2009,null
107474,1,2,0,0,1,6,1989,5,2,20,2007,2009,null
96981,3,2,0,0,0,6,1980,17,3,29,2006,2009,null
107474,1,2,0,0,0,6,1961,11,11,48,2007,2009,null
96981,3,6,0,0,0,6,1984,18,11,25,2006,2009,null
107474,1,2,0,0,1,6,1986,5,4,23,2007,2009,null
96981,3,2,0,0,0,6,1986,10,10,23,2006,2009,null
107474,1,2,0,0,0,6,1978,8,9,31,2007,2009,null
96981,3,2,0,0,1,6,1987,14,12,22,2006,2009,null
107474,1,2,0,0,0,6,1964,27,9,45,2007,2009,null
112692,2,2,0,0,1,6,1982,9,7,27,2008,2009,null
107474,1,2,0,0,0,6,1989,23,6,20,2007,2009,null
96981,3,6,0,0,0,6,1983,11,1,26,2006,2009,null
96981,3,2,0,0,0,6,1981,27,6,28,2006,2009,null
96981,3,6,0,0,0,6,1976,22,10,33,2006,2009,null
107476,1,2,0,0,0,6,1990,11,5,19,2009,2009,null
96981,3,6,0,0,0,6,1974,6,6,35,2006,2009,null
112692,2,2,0,0,0,6,1969,26,2,40,2008,2009,null
107476,1,2,0,0,0,6,1988,13,9,21,2008,2009,null
96981,3,4,0,0,0,6,1984,2,1,25,2006,2009,null
107476,1,2,0,0,0,6,1991,9,6,18,2008,2009,null
107476,1,3,0,0,1,6,1990,26,2,19,2009,2009,null
107474,1,2,0,0,0,6,1979,13,9,30,2007,2009,null
96981,3,6,0,0,1,6,1979,22,4,30,2006,2009,null
107476,1,2,0,0,1,6,1956,2,6,53,2009,2009,null
107476,1,2,0,0,1,6,1990,5,12,19,2009,2009,null
107474,1,2,0,0,0,6,1985,28,11,24,2007,2009,null
96981,3,4,0,0,0,6,1976,11,6,33,2006,2009,null
107476,1,4,0,0,0,6,1991,7,8,18,2009,2009,null
107476,1,2,0,0,1,6,1988,24,11,21,2009,2009,null
107476,1,4,0,0,0,6,1987,22,10,22,2008,2009,null
96981,3,6,0,0,1,6,1987,27,2,22,2006,2009,null
96981,3,6,0,0,0,6,1981,22,12,28,2006,2009,null
96981,3,6,0,0,0,6,1984,7,12,25,2006,2009,null
96981,3,6,0,0,0,6,1986,7,10,23,2006,2009,null
96981,3,6,0,0,0,6,1988,11,6,21,2006,2009,null
107476,1,3,0,0,0,6,1987,22,8,22,2009,2009,null
107474,1,2,0,0,1,6,1986,11,4,23,2007,2009,null
107476,1,2,0,0,0,6,1983,18,11,26,2009,2009,null
107476,1,2,0,0,1,6,1984,27,3,25,2009,2009,null
107474,1,2,0,0,0,6,1986,7,2,23,2007,2009,null
107476,1,2,0,0,0,6,1990,20,7,19,2009,2009,null
